,countryOfPub,nlmID,pubmedID,pmcID,locID,language,grantNum,affiliation,fullAuthor,source,creationDate,journalTitle,abstract,title,meshT,googleScholar,backfill
288,England,9430800,34389867,PMC8510283,10.1093/jamia/ocab164 [doi],['eng'],"['UL1 TR001873/TR/NCATS NIH HHS/United States', '5R01LM009886-11/LM/NLM NIH HHS/United States', 'grant UL1TR001873/TR/NCATS NIH HHS/United States']","['Department of Biomedical Informatics, Columbia University, New York, New York, USA.', 'Department of Biomedical Informatics, Columbia University, New York, New York, USA.', 'Observational Health Data Sciences and Informatics, New York, New York, USA.', 'Epidemiology Analytics, Janssen Research and Development, Titusville, New Jersey, USA.', 'Department of Biomedical Informatics, Columbia University, New York, New York, USA.', 'Department of Biomedical Informatics, Columbia University, New York, New York, USA.', 'Department of Biomedical Informatics, Columbia University, New York, New York, USA.', 'Department of Biomedical Informatics, Columbia University, New York, New York, USA.']","['Yuan, Chi', 'Ryan, Patrick B', 'Ta, Casey N', 'Kim, Jae Hyun', 'Li, Ziran', 'Weng, Chunhua']",J Am Med Inform Assoc. 2021 Oct 12;28(11):2456-2460. doi: 10.1093/jamia/ocab164.,2021/08/14 06:22,Journal of the American Medical Informatics Association : JAMIA,"OBJECTIVE: Evidence is scarce regarding the safety of long-term drug use, especially for drugs treating chronic diseases. To bridge this knowledge gap, this research investigated the differences in drug exposure between clinical trials and clinical practice. MATERIALS AND METHODS: We extracted drug follow-up times from clinical trials in ClinicalTrials.gov and compared the difference between clinical trials and real-world usage data for 914 drugs taken by 96 645 927 patients. RESULTS: A total of 17.5% of drugs had longer median exposure in practice than in trials, 6% of patients had extended exposure to at least 1 drug, and drugs treating nervous system disorders and cardiovascular diseases were the most common among drugs with high rates of extended exposure. CONCLUSIONS: For most of patients, the drug use length is shorter than the tested length in clinical trials. Still, a remarkable number of patients experienced extended drug exposure, particularly for drugs treating nervous system disorders or cardiovascular disorders.",From clinical trials to clinical practice: How long are drugs tested and then used by patients?,"['Humans', '*Pharmaceutical Preparations']",,
289,England,100968545,34454423,PMC8403343,10.1186/s12874-021-01370-2 [doi] 180,['eng'],,"['Observational Health Data Sciences and Informatics Community, New York, NY, USA. jhardi10@its.jnj.com.', 'Department of Epidemiology, Janssen Research & Development, LLC, 1125 Trenton-Harbourton Road, Titusville, NJ, 08560, USA. jhardi10@its.jnj.com.', 'Observational Health Data Sciences and Informatics Community, New York, NY, USA.', 'Department of Epidemiology, Janssen Research & Development, LLC, 1125 Trenton-Harbourton Road, Titusville, NJ, 08560, USA.']","['Hardin, Jill', 'Reps, Jenna M']",BMC Med Res Methodol. 2021 Aug 28;21(1):180. doi: 10.1186/s12874-021-01370-2.,2021/08/29 20:23,BMC medical research methodology,"BACKGROUND: The goal of our study is to examine the impact of the lookback length when engineering features to use in developing predictive models using observational healthcare data. Using a longer lookback for feature engineering gives more insight about patients but increases the issue of left-censoring. METHODS: We used five US observational databases to develop patient-level prediction models. A target cohort of subjects with hypertensive drug exposures and outcome cohorts of subjects with acute (stroke and gastrointestinal bleeding) and chronic outcomes (diabetes and chronic kidney disease) were developed. Candidate predictors that exist on or prior to the target index date were derived within the following lookback periods: 14, 30, 90, 180, 365, 730, and all days prior to index were evaluated. We predicted the risk of outcomes occurring 1 day until 365 days after index. Ten lasso logistic models for each lookback period were generated to create a distribution of area under the curve (AUC) metrics to evaluate the discriminative performance of the models. Calibration intercept and slope were also calculated. Impact on external validation performance was investigated across five databases. RESULTS: The maximum differences in AUCs for the models developed using different lookback periods within a database was < 0.04 for diabetes (in MDCR AUC of 0.593 with 14-day lookback vs. AUC of 0.631 with all-time lookback) and 0.012 for renal impairment (in MDCR AUC of 0.675 with 30-day lookback vs. AUC of 0.687 with 365-day lookback ). For the acute outcomes, the max difference in AUC across lookbacks within a database was 0.015 (in MDCD AUC of 0.767 with 14-day lookback vs. AUC 0.782 with 365-day lookback) for stroke and < 0.03 for gastrointestinal bleeding (in CCAE AUC of 0.631 with 14-day lookback vs. AUC of 0.660 with 730-day lookback). CONCLUSIONS: In general the choice of covariate lookback had only a small impact on discrimination and calibration, with a short lookback (< 180 days) occasionally decreasing discrimination. Based on the results, if training a logistic regression model for prediction then using covariates with a 365 day lookback appear to be a good tradeoff between performance and interpretation.",Evaluating the impact of covariate lookback times on performance of patient-level prediction models.,"['Area Under Curve', 'Databases, Factual', 'Humans', 'Logistic Models', '*Stroke', 'Time']",,
290,United States,101539486,34457154,PMC8378608,,['eng'],['R01 LM009886/LM/NLM NIH HHS/United States'],"['Department of Biomedical Informatics, Columbia University, New York, NY, USA.', 'equal-contribution first authors.', 'Department of Biomedical Informatics, Columbia University, New York, NY, USA.', 'equal-contribution first authors.', 'Department of Biomedical Informatics, Columbia University, New York, NY, USA.', 'Department of Biomedical Informatics, Columbia University, New York, NY, USA.', 'Department of Biomedical Informatics, Columbia University, New York, NY, USA.', 'Department of Biomedical Informatics, Columbia University, New York, NY, USA.', 'Department of Biomedical Informatics, Columbia University, New York, NY, USA.', 'School of Biomedical Informatics, The University of Texas Health Science Center at Houston, TX, USA.', 'Department of Biomedical Informatics, Columbia University, New York, NY, USA.']","['Li, Xinhang', 'Liu, Hao', 'Kury, Fabricio', 'Yuan, Chi', 'Butler, Alex', 'Sun, Yingcheng', 'Ostropolets, Anna', 'Xu, Hua', 'Weng, Chunhua']",AMIA Jt Summits Transl Sci Proc. 2021 May 17;2021:394-403. eCollection 2021.,2021/08/30 05:53,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,"Human annotations are the established gold standard for evaluating natural language processing (NLP) methods. The goals of this study are to quantify and qualify the disagreement between human and NLP. We developed an NLP system for annotating clinical trial eligibility criteria text and constructed a manually annotated corpus, both following the OMOP Common Data Model (CDM). We analyzed the discrepancies between the human and NLP annotations and their causes (e.g., ambiguities in concept categorization and tacit decisions on inclusion of qualifiers and temporal attributes during concept annotation). This study initially reported complexities in clinical trial eligibility criteria text that complicate NLP and the limitations of the OMOP CDM. The disagreement between and human and NLP annotations may be generalizable. We discuss implications for NLP evaluation.",A Comparison between Human and NLP-based Annotation of Clinical Trial Eligibility Criteria Text Using The OMOP Common Data Model.,"['Humans', '*Natural Language Processing']",,
291,Germany,101537732,34496418,PMC8426045,10.1055/s-0041-1733846 [doi],['eng'],"['National Library of Medicine/R01LM009886-11/', 'R01 LM009886/LM/NLM NIH HHS/United States', 'U24 TR001579/TR/NCATS NIH HHS/United States', 'National Center for Advancing Clinical and Translational Science/UL1TR001873/', 'National Center for Advancing Clinical and Translational Science/3U24TR001579/', 'UL1 TR001873/TR/NCATS NIH HHS/United States']","['Department of Biomedical Informatics, Columbia University, New York, New York, United States.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States.', 'Department of Medicine, Columbia University, New York, New York, United States.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States.']","['Sun, Yingcheng', 'Butler, Alex', 'Diallo, Ibrahim', 'Kim, Jae Hyun', 'Ta, Casey', 'Rogers, James R', 'Liu, Hao', 'Weng, Chunhua']",Appl Clin Inform. 2021 Aug;12(4):816-825. doi: 10.1055/s-0041-1733846. Epub 2021 Sep 8.,2021/09/08 20:11,Applied clinical informatics,"BACKGROUND: Clinical trials are the gold standard for generating robust medical evidence, but clinical trial results often raise generalizability concerns, which can be attributed to the lack of population representativeness. The electronic health records (EHRs) data are useful for estimating the population representativeness of clinical trial study population. OBJECTIVES: This research aims to estimate the population representativeness of clinical trials systematically using EHR data during the early design stage. METHODS: We present an end-to-end analytical framework for transforming free-text clinical trial eligibility criteria into executable database queries conformant with the Observational Medical Outcomes Partnership Common Data Model and for systematically quantifying the population representativeness for each clinical trial. RESULTS: We calculated the population representativeness of 782 novel coronavirus disease 2019 (COVID-19) trials and 3,827 type 2 diabetes mellitus (T2DM) trials in the United States respectively using this framework. With the use of overly restrictive eligibility criteria, 85.7% of the COVID-19 trials and 30.1% of T2DM trials had poor population representativeness. CONCLUSION: This research demonstrates the potential of using the EHR data to assess the clinical trials population representativeness, providing data-driven metrics to inform the selection and optimization of eligibility criteria.",A Framework for Systematic Assessment of Clinical Trial Population Representativeness Using Electronic Health Records Data.,"['*COVID-19', '*Diabetes Mellitus, Type 2', 'Electronic Health Records', 'Humans', 'Patient Selection', 'SARS-CoV-2', 'United States']",,
292,United States,101730643,34514354,PMC8423424,10.1093/jamiaopen/ooab001 [doi] ooab001,['eng'],"['MC_PC_13041/MRC_/Medical Research Council/United Kingdom', 'MR/K006584/1/MRC_/Medical Research Council/United Kingdom', 'MR/S003754/1/MRC_/Medical Research Council/United Kingdom']","['Institute of Health Informatics, University College London, London, UK.', 'Health Data Research UK, London, UK.', 'The Hyve, Utrecht, Netherlands.', 'The Hyve, Utrecht, Netherlands.', 'Institute of Health Informatics, University College London, London, UK.', 'Department of Cardiology, Division Heart & Lungs, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands.', 'Institute of Health Informatics, University College London, London, UK.', 'Health Data Research UK, London, UK.', 'Institute of Health Informatics, University College London, London, UK.', 'Health Data Research UK, London, UK.', 'Institute of Health Informatics, University College London, London, UK.', 'Health Data Research UK, London, UK.', ""Department of Biostatistics and Health Informatics, Institute of Psychiatry, Psychology and Neuroscience (IoPPN), King's College London, London, UK."", 'Institute of Health Informatics, University College London, London, UK.', 'Health Data Research UK, London, UK.', 'The Alan Turing Institute, London, UK.']","['Papez, Vaclav', 'Moinat, Maxim', 'Payralbe, Stefan', 'Asselbergs, Folkert W', 'Lumbers, R Thomas', 'Hemingway, Harry', 'Dobson, Richard', 'Denaxas, Spiros']",JAMIA Open. 2021 Feb 4;4(3):ooab001. doi: 10.1093/jamiaopen/ooab001. eCollection 2021 Jul.,2021/09/13 07:02,JAMIA open,"OBJECTIVE: The aim of the study was to transform a resource of linked electronic health records (EHR) to the OMOP common data model (CDM) and evaluate the process in terms of syntactic and semantic consistency and quality when implementing disease and risk factor phenotyping algorithms. MATERIALS AND METHODS: Using heart failure (HF) as an exemplar, we represented three national EHR sources (Clinical Practice Research Datalink, Hospital Episode Statistics Admitted Patient Care, Office for National Statistics) into the OMOP CDM 5.2. We compared the original and CDM HF patient population by calculating and presenting descriptive statistics of demographics, related comorbidities, and relevant clinical biomarkers. RESULTS: We identified a cohort of 502 536 patients with the incident and prevalent HF and converted 1 099 195 384 rows of data from 216 581 914 encounters across three EHR sources to the OMOP CDM. The largest percentage (65%) of unmapped events was related to medication prescriptions in primary care. The average coverage of source vocabularies was >98% with the exception of laboratory tests recorded in primary care. The raw and transformed data were similar in terms of demographics and comorbidities with the largest difference observed being 3.78% in the prevalence of chronic obstructive pulmonary disease (COPD). CONCLUSION: Our study demonstrated that the OMOP CDM can successfully be applied to convert EHR linked across multiple healthcare settings and represent phenotyping algorithms spanning multiple sources. Similar to previous research, challenges mapping primary care prescriptions and laboratory measurements still persist and require further work. The use of OMOP CDM in national UK EHR is a valuable research tool that can enable large-scale reproducible observational research.",Transforming and evaluating electronic health record disease phenotyping algorithms using the OMOP common data model: a case study in heart failure.,,,
293,Korea (South),8703518,34519186,PMC8438187,10.3346/jkms.2021.36.e230 [doi] e230,['eng'],['HI19C0543/Korea Health Industry Development Institute/Republic of Korea'],"['Division of Endocrinology and Metabolism, Department of Internal Medicine, Research Institute of Clinical Medicine of Jeonbuk National University-Biomedical Research Institute of Jeonbuk National University Hospital, Jeonbuk National University Medical School, Jeonju, Korea.', 'Division of Endocrinology and Metabolism, Department of Internal Medicine, Research Institute of Clinical Medicine of Jeonbuk National University-Biomedical Research Institute of Jeonbuk National University Hospital, Jeonbuk National University Medical School, Jeonju, Korea.', 'Division of Endocrinology and Metabolism, Department of Internal Medicine, Research Institute of Clinical Medicine of Jeonbuk National University-Biomedical Research Institute of Jeonbuk National University Hospital, Jeonbuk National University Medical School, Jeonju, Korea.', 'Center for Clinical Pharmacology, Biochemical Research Institute, Jeonbuk National University Hospital, Jeonju, Korea.', 'Center for Clinical Pharmacology, Biochemical Research Institute, Jeonbuk National University Hospital, Jeonju, Korea.', 'Division of Endocrinology and Metabolism, Department of Internal Medicine, Research Institute of Clinical Medicine of Jeonbuk National University-Biomedical Research Institute of Jeonbuk National University Hospital, Jeonbuk National University Medical School, Jeonju, Korea. pts@jbnu.ac.kr.']","['Lee, Kyung Ae', 'Jin, Heung Yong', 'Kim, Yu Ji', 'Im, Yong-Jin', 'Kim, Eun-Young', 'Park, Tae Sun']",J Korean Med Sci. 2021 Sep 13;36(36):e230. doi: 10.3346/jkms.2021.36.e230.,2021/09/14 07:12,Journal of Korean medical science,"BACKGROUND: Real-world data analysis is useful for identifying treatment patterns. Understanding drug prescription patterns of type 2 diabetes mellitus may facilitate diabetes management. We aimed to analyze treatment patterns of type 2 diabetes mellitus using Observational Medical Outcomes Partnership Common Data Model based on electronic health records. METHODS: This retrospective, observational study employed electronic health records of patients who visited Jeonbuk National University Hospital in Korea during January 2000-December 2019. Data were transformed into the Observational Medical Outcomes Partnership Common Data Model and analyzed using R version 4.0.3 and ATLAS ver. 2.7.6. Prescription frequency for each anti-diabetic drug, combination therapy pattern, and prescription pattern according to age, renal function, and glycated hemoglobin were analyzed. RESULTS: The number of adults treated for type 2 diabetes mellitus increased from 1,867 (2.0%) in 2000 to 9,972 (5.9%) in 2019. In the early 2000s, sulfonylurea was most commonly prescribed (73%), and in the recent years, metformin has been most commonly prescribed (64%). Prescription rates for DPP4 and SGLT2 inhibitors have increased gradually over the past few years. Monotherapy prescription rates decreased, whereas triple and quadruple combination prescription rates increased steadily. Different drug prescription patterns according to age, renal function, and glycated hemoglobin were observed. The proportion of patients with HbA1c </= 7% increased from 31.1% in 2000 to 45.6% in 2019, but that of patients visiting the emergency room for severe hypoglycemia did not change over time. CONCLUSION: Medication utilization patterns have changed significantly over the past 20 years with an increase in the use of newer drugs and a shift to combination therapies. In addition, various prescription patterns were demonstrated according to the patient characteristics in actual practice. Although glycemic control has improved, the proportion within the target is still low, underscoring the need to improve diabetes management.",Treatment Patterns of Type 2 Diabetes Assessed Using a Common Data Model Based on Electronic Health Records of 2000-2019.,"['Adolescent', 'Adult', 'Aged', 'Databases, Factual', 'Diabetes Mellitus, Type 2/*drug therapy', 'Dipeptidyl-Peptidase IV Inhibitors/therapeutic use', 'Electronic Health Records', 'Female', 'Glomerular Filtration Rate', 'Humans', 'Hypoglycemic Agents/*therapeutic use', 'Male', 'Metformin/therapeutic use', 'Middle Aged', ""Practice Patterns, Physicians'"", 'Republic of Korea', 'Retrospective Studies', 'Sodium-Glucose Transporter 2 Inhibitors/therapeutic use', 'Sulfonylurea Compounds/therapeutic use', 'Young Adult']",,
294,England,101563288,34535723,PMC8448874,10.1038/s41598-021-97989-8 [doi] 18576,['eng'],,"['Rehabilitation & Prevention Center, Heart Vascular Stroke Institute, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.', 'Department of Biomedical Engineering, Seoul National University College of Medicine, Seoul, Korea.', 'Division of Cardiology, Department of Internal Medicine, Kangwon National University Hospital, College of Medicine, Kangwon National University, Chuncheon, Korea.', 'Department of Anesthesiology and Pain Medicine, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.', 'Department of Epidemiology, School of Public Health, Seoul National University, Seoul, Korea.', 'Rehabilitation & Prevention Center, Heart Vascular Stroke Institute, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.', 'Department of Biomedical Sciences, Ajou University Graduate School of Medicine, Suwon, Korea.', 'Department of Biomedical Engineering, Seoul National University College of Medicine, Seoul, Korea.', 'Department of Biomedical Sciences, Ajou University Graduate School of Medicine, Suwon, Korea. kmhi.yang@samsung.com.', 'Center for Health Promotion, Samsung Medical Center, Sungkyunkwan University School of Medicine, 81 Irwon-ro, Gangnam-gu, Seoul, 06351, Korea. kmhi.yang@samsung.com.']","['Lee, Seung-Hwa', 'Chun, Kwang Jin', 'Park, Jungchan', 'Kim, Jinseob', 'Sung, Ji Dong', 'Park, Rae Woong', 'Choi, Jinwook', 'Yang, Kwangmo']",Sci Rep. 2021 Sep 17;11(1):18576. doi: 10.1038/s41598-021-97989-8.,2021/09/18 06:05,Scientific reports,"Contradictory findings exist about association of angiotensin-converting enzyme inhibitor (ACEi) and angiotensin receptor blocker (ARB) with lung cancer development. This was a retrospective observational cohort study that used data from 7 hospitals in Korea, converted to the Observational Medical Outcomes Partnership Common Data Model. The primary outcome was occurrence of lung cancer. A total of 207,794 patients across the 7 databases was included in the final analysis; 33,230 (16%) were prescribed ACEi and 174,564 (84%) were prescribed ARB. Crude analysis adjusted for sex and age showed higher incidence of lung cancer in the ACEi group compared to the ARB group (hazard ratio [HR], 1.46; 95% confidence rate [CI], 1.08-1.97). After propensity-score matching, 30,445 pairs were generated, and there was no difference in incidence of lung cancer between the two groups (HR, 0.93; 95% CI, 0.64-1.35). Patients prescribed ACEi showed no difference in incidence of lung cancer development compared to those using ARB. This finding provides evidence on the association between ACEi and occurrence of lung cancer.",Angiotensin converting enzyme inhibitors and incidence of lung cancer in a population based cohort of common data model in Korea.,"['Adult', 'Angiotensin-Converting Enzyme Inhibitors/*adverse effects', 'Female', 'Humans', 'Incidence', 'Lung Neoplasms/*chemically induced/epidemiology', 'Male', 'Middle Aged', 'Republic of Korea/epidemiology', 'Retrospective Studies']",,
295,Netherlands,9214582,34545823,,10.3233/SHTI210545 [doi],['eng'],,"['Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.', 'Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.', 'Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.', 'Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.', 'Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.']","['Peng, Yuan', 'Nassirian, Azadeh', 'Ahmadi, Najia', 'Sedlmayr, Martin', 'Bathelt, Franziska']",Stud Health Technol Inform. 2021 Sep 21;283:86-94. doi: 10.3233/SHTI210545.,2021/09/21 08:41,Studies in health technology and informatics,"High throughput sequencing technologies have facilitated an outburst in biological knowledge over the past decades and thus enables improvements in personalized medicine. In order to support (international) medical research with the combination of genomic and clinical patient data, a standardization and harmonization of these data sources is highly desirable. To support this increasing importance of genomic data, we have created semantic mapping from raw genomic data to both FHIR (Fast Healthcare Interoperability Resources) and OMOP (Observational Medical Outcomes Partnership) CDM (Common Data Model) and analyzed the data coverage of both models. For this, we calculated the mapping score for different data categories and the relative data coverage in both FHIR and OMOP CDM. Our results show, that the patients genomic data can be mapped to OMOP CDM directly from VCF (Variant Call Format) file with a coverage of slightly over 50%. However, using FHIR as intermediate representation does not lead to further information loss as the already stored data in FHIR can be further transformed into OMOP CDM format with almost 100% success. Our findings are in favor of extending OMOP CDM with patient genomic data using ETL to enable the researchers to apply different analysis methods including machine learning algorithms on genomic data.",Towards the Representation of Genomic Data in HL7 FHIR and OMOP CDM.,"['Algorithms', '*Electronic Health Records', '*Genomics', 'Humans', 'Machine Learning', 'Precision Medicine']",,
296,Netherlands,9214582,34545824,,10.3233/SHTI210546 [doi],['eng'],,"['Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.', 'Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.', 'IQVIA, Cambridge, MA, USA.', 'Observational Health Data Sciences and Informatics (OHDSI), New York, NY, USA.', 'Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.', 'Institute for Medical Informatics and Biometry at Carl Gustav Carus Faculty of Medicine at Technische Universitat Dresden, Germany.']","['Reinecke, Ines', 'Zoch, Michele', 'Reich, Christian', 'Sedlmayr, Martin', 'Bathelt, Franziska']",Stud Health Technol Inform. 2021 Sep 21;283:95-103. doi: 10.3233/SHTI210546.,2021/09/21 08:41,Studies in health technology and informatics,"OHDSI, a fast growing open-science research community seeks to enable researchers from around the globe to conduct network studies based on standardized data and vocabularies. There is no comprehensive review of publications about OHDSI's standard: the OMOP Common Data Model and its usage available. In this work we aim to close this gap and provide a summary of existing publications including the analysis of its meta information such as the choice of journals, journal types, countries, as well as an analysis by topics based on a title and abstract screening. Since 2016, the number of publications has been constantly growing and the relevance of the OMOP CDM is increasing in terms of multi-country studies based on observational patient data.",The Usage of OHDSI OMOP - A Scoping Review.,,,
297,Ireland,8506513,34560604,PMC8420135,S0169-2607(21)00468-5 [pii] 10.1016/j.cmpb.2021.106394 [doi],['eng'],,"['Botnar Research Centre, Centre for Statistics in Medicine, Nuffield Department of Orthopaedics Rheumatology and Musculoskeletal Sciences (NDORMS), University of Oxford, Oxford, UK.', 'Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, the Netherlands.', 'Observational Health Data Analytics, Janssen Research and Development, Titusville, NJ, USA.', 'Fundacio Institut Universitari per a la recerca a lAtencio Primaria de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain.', 'Fundacio Institut Universitari per a la recerca a lAtencio Primaria de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain.', 'Department of Biomedical Sciences, Ajou University Graduate School of Medicine, Suwon, Republic of Korea.', 'Department of Biomedical Sciences, Ajou University Graduate School of Medicine, Suwon, Republic of Korea; Department of Biomedical Informatics, Ajou University School of Medicine, Suwon, Republic of Korea.', 'Department of Biomedical Sciences, Ajou University Graduate School of Medicine, Suwon, Republic of Korea.', 'Observational Health Data Analytics, Janssen Research and Development, Titusville, NJ, USA.', 'Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, the Netherlands; Observational Health Data Analytics, Janssen Research and Development, Titusville, NJ, USA.', 'Departments of Biomathematics, University of California, Los Angeles, USA.', 'Department of Preventive Medicine and Public Health, Yonsei University College of Medicine, Republic of Korea.', 'Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, the Netherlands.', 'Observational Health Data Analytics, Janssen Research and Development, Titusville, NJ, USA. Electronic address: jreps@its.jnj.com.']","['Khalid, Sara', 'Yang, Cynthia', 'Blacketer, Clair', 'Duarte-Salles, Talita', 'Fernandez-Bertolin, Sergio', 'Kim, Chungsoo', 'Park, Rae Woong', 'Park, Jimyung', 'Schuemie, Martijn J', 'Sena, Anthony G', 'Suchard, Marc A', 'You, Seng Chan', 'Rijnbeek, Peter R', 'Reps, Jenna M']",Comput Methods Programs Biomed. 2021 Nov;211:106394. doi: 10.1016/j.cmpb.2021.106394. Epub 2021 Sep 6.,2021/09/24 20:32,Computer methods and programs in biomedicine,"BACKGROUND AND OBJECTIVE: As a response to the ongoing COVID-19 pandemic, several prediction models in the existing literature were rapidly developed, with the aim of providing evidence-based guidance. However, none of these COVID-19 prediction models have been found to be reliable. Models are commonly assessed to have a risk of bias, often due to insufficient reporting, use of non-representative data, and lack of large-scale external validation. In this paper, we present the Observational Health Data Sciences and Informatics (OHDSI) analytics pipeline for patient-level prediction modeling as a standardized approach for rapid yet reliable development and validation of prediction models. We demonstrate how our analytics pipeline and open-source software tools can be used to answer important prediction questions while limiting potential causes of bias (e.g., by validating phenotypes, specifying the target population, performing large-scale external validation, and publicly providing all analytical source code). METHODS: We show step-by-step how to implement the analytics pipeline for the question: 'In patients hospitalized with COVID-19, what is the risk of death 0 to 30 days after hospitalization?'. We develop models using six different machine learning methods in a USA claims database containing over 20,000 COVID-19 hospitalizations and externally validate the models using data containing over 45,000 COVID-19 hospitalizations from South Korea, Spain, and the USA. RESULTS: Our open-source software tools enabled us to efficiently go end-to-end from problem design to reliable Model Development and evaluation. When predicting death in patients hospitalized with COVID-19, AdaBoost, random forest, gradient boosting machine, and decision tree yielded similar or lower internal and external validation discrimination performance compared to L1-regularized logistic regression, whereas the MLP neural network consistently resulted in lower discrimination. L1-regularized logistic regression models were well calibrated. CONCLUSION: Our results show that following the OHDSI analytics pipeline for patient-level prediction modelling can enable the rapid development towards reliable prediction models. The OHDSI software tools and pipeline are open source and available to researchers from all around the world.",A standardized analytics pipeline for reliable and rapid development and validation of prediction models using observational health data.,"['*COVID-19', 'Humans', 'Logistic Models', 'Machine Learning', '*Pandemics', 'SARS-CoV-2']",,
298,Germany,0210453,34583416,PMC8714301,10.1055/s-0041-1735166 [doi],['eng'],"[""Korea's Ministry of Trade, Industry, and Energy/20004927/""]","['Office of eHealth Research and Business, Seoul National University Bundang Hospital, Seongnam, South Korea.', 'Department of Biomedical Engineering, College of Medicine, Seoul National University, Seoul, South Korea.', 'Office of eHealth Research and Business, Seoul National University Bundang Hospital, Seongnam, South Korea.', 'Office of eHealth Research and Business, Seoul National University Bundang Hospital, Seongnam, South Korea.', 'Department of Biomedical Engineering, College of Medicine, Seoul National University, Seoul, South Korea.', 'Institute of Medical and Biological Engineering, Medical Research Center, Seoul National University, Seoul, South Korea.']","['Ryu, Borim', 'Yoo, Sooyoung', 'Kim, Seok', 'Choi, Jinwook']",Methods Inf Med. 2021 Dec;60(S 02):e65-e75. doi: 10.1055/s-0041-1735166. Epub 2021 Sep 28.,2021/09/28 20:33,Methods of information in medicine,"BACKGROUND: Unplanned hospital readmission after discharge reflects low satisfaction and reliability in care and the possibility of potential medical accidents, and is thus indicative of the quality of patient care and the appropriateness of discharge plans. OBJECTIVES: The purpose of this study was to develop and validate prediction models for all-cause unplanned hospital readmissions within 30 days of discharge, based on a common data model (CDM), which can be applied to multiple institutions for efficient readmission management. METHODS: Retrospective patient-level prediction models were developed based on clinical data of two tertiary general university hospitals converted into a CDM developed by Observational Medical Outcomes Partnership. Machine learning classification models based on the LASSO logistic regression model, decision tree, AdaBoost, random forest, and gradient boosting machine (GBM) were developed and tested by manipulating a set of CDM variables. An internal 10-fold cross-validation was performed on the target data of the model. To examine its transportability, the model was externally validated. Verification indicators helped evaluate the model performance based on the values of area under the curve (AUC). RESULTS: Based on the time interval for outcome prediction, it was confirmed that the prediction model targeting the variables obtained within 30 days of discharge was the most efficient (AUC of 82.75). The external validation showed that the model is transferable, with the combination of various clinical covariates. Above all, the prediction model based on the GBM showed the highest AUC performance of 84.14 +/- 0.015 for the Seoul National University Hospital cohort, yielding in 78.33 in external validation. CONCLUSIONS: This study showed that readmission prediction models developed using machine-learning techniques and CDM can be a useful tool to compare two hospitals in terms of patient-data features.",Development of Prediction Models for Unplanned Hospital Readmission within 30 Days Based on Common Data Model: A Feasibility Study.,"['Area Under Curve', 'Feasibility Studies', 'Humans', '*Patient Readmission', 'Reproducibility of Results', 'Retrospective Studies']",,
