pmid,year,title,category
33782494,2021,Transforming electronic health record polysomnographic data into the Observational Medical Outcome Partnership's Common Data Model: a pilot feasibility study.,Open community data standards
33783361,2021,A Framework (SOCRATex) for Hierarchical Annotation of Unstructured Electronic Health Records and Integration Into a Standardized Medical Database: Development and Usability Study.,Open community data standards
33791740,2021,Alpha-1 blockers and susceptibility to COVID-19 in benign prostate hyperplasia patients : an international cohort study.,Clinical evidence generation
33813032,2021,A knowledge base of clinical trial eligibility criteria.,Methodological research
33882595,2021,Drawing Reproducible Conclusions from Observational Clinical Data with OHDSI.,Methodological research
33887457,2021,Building an OMOP common data model-compliant annotated corpus for COVID-19 clinical trials.,Open source development
33907758,2021,NSAID use and clinical outcomes in COVID-19 patients: A 38-center retrospective cohort study.,Clinical evidence generation
33936396,2020,Deep Learning Approach to Parse Eligibility Criteria in Dietary Supplements Clinical Trials Following OMOP Common Data Model.,Open community data standards
33936474,2020,Characterizing database granularity using SNOMED-CT hierarchy.,Methodological research
33936520,2020,Normalizing Clinical Document Titles to LOINC Document Ontology: an Initial Study.,Open community data standards
33975825,2021,Use of repurposed and adjuvant drugs in hospital patients with covid-19: multinational network cohort study.,Clinical evidence generation
33987667,2021,Deep-learning-based automated terminology mapping in OMOP-CDM.,Open community data standards
33993254,2021,Automated production of research data marts from a canonical fast healthcare interoperability resource data repository: applications to COVID-19 research.,Open community data standards
34001114,2021,An OMOP-CDM based pharmacovigilance data-processing pipeline (PDP) providing active surveillance for ADR signal detection from real-world data sources.,Clinical evidence generation
34032695,2021,"Seasonal variation of peptic ulcer disease, peptic ulcer bleeding, and acute pancreatitis: A nationwide population-based study using a common data model.",Clinical evidence generation
34042637,2021,Pharmacovigilance and Clinical Environment: Utilizing OMOP-CDM and OHDSI Software Stack to Integrate EHR Data.,Clinical evidence generation
34042721,2021,Adaption of the OMOP CDM for Rare Diseases.,Open community data standards
34042723,2021,Potential Role of Clinical Trial Eligibility Criteria in Electronic Phenotyping.,Methodological research
34042737,2021,Automated Generation of Individual and Population Clinical Pathways with the OMOP Common Data Model.,Open source development
34042774,2021,From OpenEHR to FHIR and OMOP Data Model for Microbiology Findings.,Open community data standards
34042878,2021,HIStream-Import: A Generic ETL Framework for Processing Arbitrary Patient Data Collections or Hospital Information Systems into HL7 FHIR Bundles.,Open community data standards
34042902,2021,Accessing OMOP Common Data Model Repositories with the i2b2 Webclient - Algorithm for Automatic Query Translation.,Open source development
34057426,2021,Evaluation of the Privacy Risks of Personal Health Identifiers and Quasi-Identifiers in a Distributed Research Network: Development and Validation Study.,Methodological research
34068814,2021,The Risk of Osteoporosis and Osteoporotic Fracture Following the Use of Irritable Bowel Syndrome Medical Treatment: An Analysis Using the OMOP CDM Database.,Clinical evidence generation
34127981,2021,Outcomes of SARS-CoV-2 Infection in Patients with Chronic Liver Disease and Cirrhosis: a N3C Study.,Clinical evidence generation
34142015,2021,Comparative effectiveness of medical concept embedding for feature engineering in phenotyping.,Methodological research
34151259,2021,Development of An Individualized Risk Prediction Model for COVID-19 Using Electronic Health Record Data.,Methodological research
34174396,2021,Adaptation of an NLP system to a new healthcare environment to identify social determinants of health.,Open source development
34185008,2021,"A National, Semantic-Driven, Three-Pillar Strategy to Enable Health Data Secondary Usage Interoperability for Research Within the Swiss Personalized Health Network: Methodological Study.",Open community data standards
34214696,2021,A two-stage workflow to extract and harmonize drug mentions from clinical notes into observational databases.,Open community data standards
34255046,2021,Clinical Characterization and Prediction of Clinical Severity of SARS-CoV-2 Infection Among US Adults Using Data From the US National COVID Cohort Collaborative.,Clinical evidence generation
34267326,2021,"Characteristics and outcomes of 627 044 COVID-19 patients living with and without obesity in the United States, Spain, and the United Kingdom.",Clinical evidence generation
34272262,2021,"Characteristics and Outcomes of Over 300,000 Patients with COVID-19 and History of Cancer in the United States and Spain.",Clinical evidence generation
34284037,2021,Outcomes of SARS-CoV-2 Infection in Patients With Chronic Liver Disease and Cirrhosis: A National COVID Cohort Collaborative Study.,Clinical evidence generation
34287211,2021,Evaluation of Three Feasibility Tools for Identifying Patient Data and Biospecimen Availability: Comparative Usability Study.,Open source development
34313749,2021,Increasing trust in real-world evidence through evaluation of observational data quality.,Open community data standards
34380168,2021,Transformation of Electronic Health Records and Questionnaire Data to OMOP CDM: A Feasibility Study Using SG_T2DM Dataset.,Open community data standards
34389867,2021,From clinical trials to clinical practice: How long are drugs tested and then used by patients?,Clinical evidence generation
34454423,2021,Evaluating the impact of covariate lookback times on performance of patient-level prediction models.,Methodological research
34457154,2021,A Comparison between Human and NLP-based Annotation of Clinical Trial Eligibility Criteria Text Using The OMOP Common Data Model.,Methodological research
34496418,2021,A Framework for Systematic Assessment of Clinical Trial Population Representativeness Using Electronic Health Records Data.,Methodological research
34514354,2021,Transforming and evaluating electronic health record disease phenotyping algorithms using the OMOP common data model: a case study in heart failure.,Open community data standards
34519186,2021,Treatment Patterns of Type 2 Diabetes Assessed Using a Common Data Model Based on Electronic Health Records of 2000-2019.,Clinical evidence generation
34535723,2021,Angiotensin converting enzyme inhibitors and incidence of lung cancer in a population based cohort of common data model in Korea.,Clinical evidence generation
34545823,2021,Towards the Representation of Genomic Data in HL7 FHIR and OMOP CDM.,Open community data standards
34545824,2021,The Usage of OHDSI OMOP - A Scoping Review.,Open community data standards
34560604,2021,A standardized analytics pipeline for reliable and rapid development and validation of prediction models using observational health data.,Open source development
34583416,2021,Development of Prediction Models for Unplanned Hospital Readmission within 30 Days Based on Common Data Model: A Feasibility Study.,Methodological research
34590684,2022,Synergies between centralized and federated approaches to data quality: a report from the national COVID cohort collaborative.,Open community data standards
34640472,2021,Assessment of Inter-Institutional Post-Operative Hypoparathyroidism Status Using a Common Data Model.,Clinical evidence generation
34673922,2021,ASH Research Collaborative: a real-world data infrastructure to support real-world evidence development and learning healthcare systems in hematology.,Open community data standards
34714250,2021,Transforming Anesthesia Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study.,Open community data standards
34727871,2021,Standardizing registry data to the OMOP Common Data Model: experience from three pulmonary hypertension databases.,Open community data standards
34773936,2021,Real-world incidence of endopthalmitis after intravitreal anti-VEGF injections in Korea: findings from the Common Data Model in ophthalmology.,Clinical evidence generation
34795073,2021,Development of a FHIR Layer on Top of the OMOP Common Data Model for the CAPABLE Project.,Open source development
34795074,2021,Automatic Data Transfer from OMOP-CDM to REDCap: A Semantically-Enriched Framework.,Open source development
34795082,2021,Transfer of Clinical Drug Data to a Research Infrastructure on OMOP - A FAIR Concept.,Open community data standards
34795096,2021,Making EHRs Reusable: A Common Framework of Data Operations.,Open community data standards
34831777,2021,The Prescription of Drug Ontology 2.0 (PDRO): More Than the Sum of Its Parts.,Open source development
34841975,2022,Combining cox regressions across a heterogeneous distributed research network facing small and zero counts.,Methodological research
34860667,2021,Open-source Software Sustainability Models: Initial White Paper From the Informatics Technology for Cancer Research Sustainability and Industry Partnership Working Group.,Open source development
34870731,2022,"90-Day all-cause mortality can be predicted following a total knee replacement: an international, network study to develop and validate a prediction model.",Clinical evidence generation
34899334,2021,"Bias, Precision and Timeliness of Historical (Background) Rate Comparison Methods for Vaccine Safety Monitoring: An Empirical Multi-Database Analysis.",Methodological research
34904958,2021,Transformation and Evaluation of the MIMIC Database in the OMOP Common Data Model: Development and Usability Study.,Open community data standards
34911976,2021,Preliminary feasibility assessment of CDM-based active surveillance using current status of medical device data in medical records and OMOP-CDM.,Open community data standards
34930903,2021,Predictors of diagnostic transition from major depressive disorder to bipolar disorder: a retrospective observational network study.,Clinical evidence generation
34937726,2021,Characteristics and outcomes of patients with COVID-19 with and without prevalent hypertension: a multinational cohort study.,Clinical evidence generation
34952111,2022,Network modeling of anxiety and psychological characteristics on suicidal behavior: Cross-sectional study.,Clinical evidence generation
34952871,2021,Investigating the impact of development and internal validation design when training prognostic models using a retrospective cohort in big US observational healthcare data.,Methodological research
34970858,2022,"Aspirin, metformin, and statin use on the risk of gastric cancer: A nationwide population-based cohort study in Korea with systematic review and meta-analysis.",Clinical evidence generation
35040608,2022,Development and Validation of the Radiology Common Data Model (R-CDM) for the International Standardization of Medical Imaging Data.,Open community data standards
35046809,2021,Combining a Pharmacological Network Model with a Bayesian Signal Detection Algorithm to Improve the Detection of Adverse Drug Events.,Methodological research
35077901,2022,Developing an ETL tool for converting the PCORnet CDM into the OMOP CDM to facilitate the COVID-19 data integration.,Open community data standards
35094685,2022,Seek COVER: using a disease proxy to rapidly develop and validate a personalized risk calculator for COVID-19 outcomes in an international network.,Methodological research
35115001,2022,Evaluating the performance of temporal pattern discovery: new application using statins and rhabdomyolysis in OMOP databases.,Methodological research
35191114,2022,Background rates of five thrombosis with thrombocytopenia syndromes of special interest for COVID-19 vaccine safety surveillance: Incidence between 2017 and 2019 and patient profiles from 38.6 million people in six European countries.,Clinical evidence generation
35204354,2022,Renin-Angiotensin-Aldosterone System Inhibitors and Risk of Cancer: A Population-Based Cohort Study Using a Common Data Model.,Clinical evidence generation
35211336,2022,Ensuring a safe(r) harbor: Excising personally identifiable information from structured electronic health record data.,Open community data standards
35212277,2022,"Real-world comparison of mono and dual combination therapies of metformin, sulfonylurea, and dipeptidyl peptidase-4 inhibitors using a common data model: A retrospective observational study.",Clinical evidence generation
35249830,2022,The Value of Federated Data Networks in Oncology: What Research Questions Do They Answer? Outcomes From a Systematic Literature Review.,Clinical evidence generation
35253022,2020,Leveraging Differential Privacy in Geospatial Analyses of Standardized Healthcare Data.,Open source development
35275076,2022,Patient-Level Fall Risk Prediction Using the Observational Medical Outcomes Partnership's Common Data Model: Pilot Feasibility Study.,Clinical evidence generation
35276502,2022,Patient characteristics and antiseizure medication pathways in newly diagnosed epilepsy: Feasibility and pilot results using the common data model in a single-center electronic medical record database.,Clinical evidence generation
35292697,2022,Analysis of treatment pattern of anti-dementia medications in newly diagnosed Alzheimer's dementia using OMOP CDM.,Clinical evidence generation
35297548,2022,"Beacon v2 and Beacon networks: A ""lingua franca"" for federated data discovery in biomedical genomics, and beyond.",Open community data standards
35308947,2021,Extracting Patient-level Social Determinants of Health into the OMOP Common Data Model.,Open community data standards
35313835,2022,Gender differences in outpatients with dementia from a large psychiatric hospital in China.,Clinical evidence generation
35345821,2022,Unraveling COVID-19: A Large-Scale Characterization of 4.5 Million COVID-19 Cases Using CHARYBDIS.,Clinical evidence generation
35362796,2022,Second primary malignancy risk in thyroid cancer and matched patients with and without radioiodine therapy analysis from the observational health data sciences and informatics.,Clinical evidence generation
35390589,2022,Development and validation of a management system and dataset quality assessment tool for the Radiology Common Data Model (R_CDM): A case study in liver disease.,Open community data standards
35404974,2022,"Extract, transform, load framework for the conversion of health databases to OMOP.",Open community data standards
35435957,2022,Harmonizing units and values of quantitative data elements in a very large nationally pooled electronic health record (EHR) dataset.,Methodological research
35460296,2022,"Haematology Outcomes Network in Europe (HONEUR)-A collaborative, interdisciplinary platform to harness the potential of real-world data in hematology.",Open community data standards
35511233,2022,Inclusion of social determinants of health improves sepsis readmission prediction models.,Methodological research
35570298,2022,NSAID use and clinical outcomes in COVID-19 patients: a 38-center retrospective cohort study.,Clinical evidence generation
35570696,2022,Heart Failure and Stroke Risks in Users of Liothyronine With or Without Levothyroxine Compared with Levothyroxine Alone: A Propensity Score-Matched Analysis.,Clinical evidence generation
35571357,2022,Trajectories: a framework for detecting temporal clinical event sequences from health data standardized to the Observational Medical Outcomes Partnership (OMOP) Common Data Model.,Open source development
35576963,2022,Venous or arterial thrombosis and deaths among COVID-19 cases: a European network cohort study.,Clinical evidence generation
35576979,2022,Applying the OMOP Common Data Model to Facilitate Benefit-Risk Assessments of Medicinal Products Using Real-World Data from Singapore and South Korea.,Open community data standards
35579818,2022,Using Iterative Pairwise External Validation to Contextualize Prediction Model Performance: A Use Case Predicting 1-Year Heart Failure Risk in Patients with Diabetes Across Five Data Sources.,Methodological research
35589253,2022,"""Beyond MELD"" - Emerging strategies and technologies for improving mortality prediction, organ allocation and outcomes in liver transplantation.",Methodological research
35589549,2022,Identifying who has long COVID in the USA: a machine learning approach using N3C data.,Clinical evidence generation
35593971,2022,Training prediction models for individual risk assessment of postoperative complications after surgery for colorectal cancer.,Methodological research
35606846,2022,Impact of pitavastatin on new-onset diabetes mellitus compared to atorvastatin and rosuvastatin: a distributed network analysis of 10 real-world databases.,Clinical evidence generation
35612079,2022,Usability of OMOP Common Data Model for Detailed Lab Microbiology Results.,Open community data standards
35612098,2022,FAIRifying a Quality Registry Using OMOP CDM: Challenges and Solutions.,Open community data standards
35612106,2022,Evaluation and Challenges of Medical Procedure Data Harmonization to SNOMED-CT for Observational Research.,Unknown
35612110,2022,Beyond the Brain: MIDS Extends BIDS to Multiple Modalities and Anatomical Regions.,Open community data standards
35612126,2022,Towards the Improvement of Clinical Guidelines Based on Real World Data.,Methodological research
35631157,2022,Opportunities of Digital Infrastructures for Disease Management-Exemplified on COVID-19-Related Change in Diagnosis Counts for Diabetes-Related Eye Diseases.,Open community data standards
35653017,2022,Phenotype Algorithms for the Identification and Characterization of Vaccine-Induced Thrombotic Thrombocytopenia in Real World Data: A Multinational Network Cohort Study.,Clinical evidence generation
35672970,2022,A Multi-Omics Common Data Model for Primary Immunodeficiencies.,Open community data standards
35672974,2022,Translating the Observational Medical Outcomes Partnership - Common Data Model (OMOP-CDM) Electronic Health Records to an OWL Ontology.,Open community data standards
35673206,2022,A Natural Language Processing Tool Offering Data Extraction for COVID-19 Related Information (DECOVRI).,Open source development
35680274,2022,"Large-scale evidence generation and evaluation across a network of databases for type 2 diabetes mellitus (LEGEND-T2DM): a protocol for a series of multinational, real-world comparative cardiovascular effectiveness and safety studies.",Clinical evidence generation
35685531,2022,Time Trends and Treatment Pathways in Prescribing Individual Oral Anticoagulants in Patients with Nonvalvular Atrial Fibrillation: An Observational Study of More than Three Million Patients from Europe and the United States.,Clinical evidence generation
35705182,2022,Transforming Thyroid Cancer Diagnosis and Staging Information from Unstructured Reports to the Observational Medical Outcome Partnership Common Data Model.,Open community data standards
35715561,2022,Real-world treatment intensities and pathways of macular edema following retinal vein occlusion in Korea from Common Data Model in ophthalmology.,Clinical evidence generation
35728447,2022,Development and external validation of prediction models for adverse health outcomes in rheumatoid arthritis: A multinational real-world cohort analysis.,Methodological research
35773820,2022,Beyond the Brain: MIDS Extends BIDS to Multiple Modalities and Anatomical Regions.,Open community data standards
35773924,2022,An OHDSI ATLAS Extension to Support Feasibility Requests in a Research Network.,Open source development
35780114,2022,Empirical assessment of alternative methods for identifying seasonality in observational healthcare data.,Methodological research
35786634,2022,Methodological Issues in Using a Common Data Model of COVID-19 Vaccine Uptake and Important Adverse Events of Interest: Feasibility Study of Data and Connectivity COVID-19 Vaccines Pharmacovigilance in the United Kingdom.,Open community data standards
35790207,2022,Perceived Risk of Re-Identification in OMOP-CDM Database: A Cross-Sectional Survey.,Open community data standards
35810265,2022,Hip Fracture Risk After Treatment with Tramadol or Codeine: An Observational Study.,Clinical evidence generation
35849195,2022,Developing prediction models for short-term mortality after surgery for colorectal cancer using a Danish national quality assurance database.,Methodological research
35852842,2022,Fast Healthcare Interoperability Resources (FHIR) for Interoperability in Health Research: Systematic Review.,Open community data standards
35854720,2022,Advancing Interoperability of Patient-level Social Determinants of Health Data to Support COVID-19 Research.,Open community data standards
35873596,2022,Vaccine Safety Surveillance Using Routinely Collected Healthcare Data-An Empirical Evaluation of Epidemiological Designs.,Methodological research
35911666,2022,An ordinal severity scale for COVID-19 retrospective studies using Electronic Health Record data.,Clinical evidence generation
35933465,2023,Development and usage of an anesthesia data warehouse: lessons learnt from a 10-year project.,Open community data standards
35962355,2022,"Leveraging artificial intelligence and data science techniques in harmonizing, sharing, accessing and analyzing SARS-COV-2/COVID-19 data in Rwanda (LAISDAR Project): study design and rationale.",Open community data standards
35966642,2022,Associations Between Gastrointestinal Symptoms and COVID-19 Severity Outcomes Based on a Propensity Score-Weighted Analysis of a Nationwide Cohort.,Clinical evidence generation
35995107,2022,PheValuator 2.0: Methodological improvements for the PheValuator approach to semi-automated phenotype algorithm evaluation.,Open source development
36029954,2022,Towards quality improvement of vaccine concept mappings in the OMOP vocabulary with a semi-automated method.,Open community data standards
36073478,2022,Preserving Privacy when Querying OMOP CDM Databases.,Methodological research
36085809,2022,Accelerating Multi-site Health Informatics with Streamlined Data Infrastructure using OMOP-on-FHIR.,Open community data standards
36089199,2022,FHIR-Ontop-OMOP: Building clinical knowledge graphs in FHIR RDF with the OMOP Common data Model.,Open community data standards
36106377,2022,Identification of patients with drug-resistant epilepsy in electronic medical record data using the Observational Medical Outcomes Partnership Common Data Model.,Methodological research
36123617,2023,iGlarLixi versus basal plus Rapid-Acting insulin in adults with type 2 diabetes advancing from basal insulin therapy: The SoliSimplify Real-World study.,Clinical evidence generation
36128510,2022,Radiology Text Analysis System (RadText): Architecture and Evaluation.,Open source development
36130711,2022,Conversion of Automated 12-Lead Electrocardiogram Interpretations to OMOP CDM Vocabulary.,Open community data standards
36188566,2022,International cohort study indicates no association between alpha-1 blockers and susceptibility to COVID-19 in benign prostatic hyperplasia patients.,Clinical evidence generation
36190338,2023,Risks of long-term use of proton pump inhibitor on ischemic vascular events: A distributed network analysis of 5 real-world observational Korean databases using a common data model.,Clinical evidence generation
36199590,2022,Blueprint for harmonising unstandardised disease registries to allow federated data analysis: prepare for the future.,Open community data standards
36201386,2022,A Data-Driven Reference Standard for Adverse Drug Reaction (RS-ADR) Signal Assessment: Development and Validation.,Methodological research
36207711,2022,Adaptation and validation of a coding algorithm for the Charlson Comorbidity Index in administrative claims data using the SNOMED CT standardized vocabulary.,Open community data standards
36226360,2023,Standardizing electronic health record ventilation data in the pediatric long-term mechanical ventilator-dependent population.,Open community data standards
36227072,2022,Transforming and evaluating the UK Biobank to the OMOP Common Data Model for COVID-19 research and beyond.,Open community data standards
36227638,2022,Coronary Artery Computed Tomography Angiography for Preventing Cardio-Cerebrovascular Disease: Observational Cohort Study Using the Observational Health Data Sciences and Informatics' Common Data Model.,Clinical evidence generation
36233137,2022,OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review.,Open community data standards
36247446,2022,Factors affecting the changes in antihypertensive medications in patients with hypertension.,Clinical evidence generation
36251369,2022,Standardized Description of the Feature Extraction Process to Transform Raw Data Into Meaningful Information for Enhancing Data Reuse: Consensus Study.,Open community data standards
36264262,2023,Integrating real-world data from Brazil and Pakistan into the OMOP common data model and standardized health analytics framework to characterize COVID-19 in the Global South.,Open community data standards
36281513,2023,Common Data Model-based Analysis of Selective Leukoreduction Protocol Compliance at Three Hospitals.,Open community data standards
36283581,2022,Ontology-based categorization of clinical studies by their conditions.,Open community data standards
36303318,2022,Common data model for COVID-19 datasets.,Open community data standards
36307424,2022,"Harvesting metadata in clinical care: a crosswalk between FHIR, OMOP, CDISC and openEHR metadata.",Open community data standards
36315520,2022,Temporal Events Detector for Pregnancy Care (TED-PC): A rule-based algorithm to infer gestational age and delivery date from electronic health records of pregnant women with and without COVID-19.,Methodological research
36322788,2022,A Hybrid Architecture (CO-CONNECT) to Facilitate Rapid Discovery and Access to Data Across the United Kingdom in Response to the COVID-19 Pandemic: Development Study.,Open community data standards
36324116,2022,The sociodemographic characteristics and clinical features of the late-life depression patients: results from the Beijing Anding Hospital mental health big data platform.,Clinical evidence generation
36389281,2022,Long-term use of proton-pump inhibitor on Alzheimer's disease: a real-world distributed network analysis of six observational Korean databases using a Common Data Model.,Clinical evidence generation
36395615,2023,An ETL-process design for data harmonization to participate in international research with German real-world data based on FHIR and OMOP CDM.,Open source development
36406796,2022,"Evaluating a novel approach to stimulate open science collaborations: a case series of ""study-a-thon"" events within the OHDSI and European IMI communities.",Open source development
36461620,2024,Illustration of Continuous Enrollment and Beneficiary Categorization in DoD and VA Infrastructure for Clinical Intelligence.,Open community data standards
36468484,2023,Association of periodontitis with menopause and hormone replacement therapy: a hospital cohort study using a common data model.,Clinical evidence generation
36478647,2022,Establishment of an International Evidence Sharing Network Through Common Data Model for Cardiovascular Research.,Clinical evidence generation
36506524,2022,Corrigendum: Vaccine safety surveillance using routinely collected healthcare data-An empirical evaluation of epidemiological designs.,Methodological research
36555858,2022,iADRGSE: A Graph-Embedding and Self-Attention Encoding for Identifying Adverse Drug Reaction in the Earlier Phase of Drug Development.,Methodological research
36563487,2023,Generalisable long COVID subtypes: findings from the NIH N3C and RECOVER programmes.,Methodological research
36595527,2023,Exploring the potential of OMOP common data model for process mining in healthcare.,Open community data standards
36632328,2023,Integrating real-world data to assess cardiac ablation device outcomes in a multicenter study using the OMOP common data model for regulatory decisions: implementation and evaluation.,Open community data standards
36692805,2023,Risk of COVID-19 Diagnosis and Hospitalisation in Patients with Osteoarthritis or Back Pain Treated with Ibuprofen Compared to Other NSAIDs or Paracetamol: A Network Cohort Study.,Clinical evidence generation
36696159,2023,Assessment and Improvement of Drug Data Structuredness From Electronic Health Records: Algorithm Development and Validation.,Open community data standards
36795690,2023,Using a data-driven approach for the development and evaluation of phenotype algorithms for systemic lupus erythematosus.,Methodological research
36845321,2022,"Characteristics and outcomes of COVID-19 patients with COPD from the United States, South Korea, and Europe.",Clinical evidence generation
36847736,2023,Correction to: Transforming and evaluating the UK Biobank to the OMOP Common Data Model for COVID-19 research and beyond.,Open community data standards
36884279,2023,An Ontology-Based Approach for Consolidating Patient Data Standardized With European Norm/International Organization for Standardization 13606 (EN/ISO 13606) Into Joint Observational Medical Outcomes Partnership (OMOP) Repositories: Description of a Methodology.,Open community data standards
36909637,2023,Bumetanide Exposure Association with Alzheimer's Disease Risk.,Clinical evidence generation
36935011,2023,Representing and utilizing clinical textual data for real world studies: An OHDSI approach.,Open community data standards
36977531,2023,Cancer Research Line (CAREL): Development of Expanded Distributed Research Networks for Prostate Cancer and Lung Cancer.,Open source development
36991144,2023,A standardized framework for risk-based assessment of treatment effect heterogeneity in observational healthcare databases.,Methodological research
37023843,2023,The need for multimodal health data modeling: A practical approach for a federated-learning healthcare platform.,Open community data standards
37025303,2023,A Path to Real-World Evidence in Critical Care Using Open-Source Data Harmonization Tools.,Clinical evidence generation
37034358,2023,Contextualising adverse events of special interest to characterise the baseline incidence rates in 24 million patients with COVID-19 across 26 databases: a multinational retrospective cohort study.,Clinical evidence generation
37041475,2023,Piloting an automated clinical trial eligibility surveillance and provider alert system based on artificial intelligence and standard data models.,Open source development
37087110,2023,Clinical encounter heterogeneity and methods for resolving in networked EHR data: a study from N3C and RECOVER programs.,Methodological research
37128407,2022,Phenotyping in distributed data networks: selecting the right codes for the right patients.,Open source development
37128452,2022,Hierarchy-aware Adverse Reaction Embeddings for Signal Detection.,Methodological research
37128466,2022,Feasibility of Linking Area Deprivation Index Data to the OMOP Common Data Model.,Open community data standards
37167578,2023,How to Improve Cancer Patients ENrollment in Clinical Trials From rEal-Life Databases Using the Observational Medical Outcomes Partnership Oncology Extension: Results of the PENELOPE Initiative in Urologic Cancers.,Open community data standards
37169362,2024,Perioperative adverse cardiac events and mortality after non-cardiac surgery: a multicenter study.,Clinical evidence generation
37172152,2023,Transforming Documents of the Austrian Nationwide EHR System into the OMOP CDM.,Open community data standards
37181728,2023,A metadata framework for computational phenotypes.,Open community data standards
37190737,2023,Standardized Database of 12-Lead Electrocardiograms with a Common Standard for the Promotion of Cardiovascular Research: KURIAS-ECG.,Open community data standards
37190741,2023,Feasibility Study of Federated Learning on the Distributed Research Network of OMOP Common Data Model.,Methodological research
37203475,2023,Fitness for Use of Anatomical Therapeutic Classification for Real World Data Research.,Open community data standards
37203486,2023,Towards ETL Processes to OMOP CDM Using Metadata and Modularization.,Open community data standards
37203488,2023,Modeling Patient Treatment Trajectories Using Markov Chains for Cost Analysis.,Methodological research
37203528,2023,Converting HL7 CDA Based Nationwide Austrian Medication Data to OMOP CDM.,Open community data standards
37203598,2023,German Claims Data for Real-World Research: Content Coverage Evaluation in OMOP CDM.,Open community data standards
37203630,2023,"The DELPHI Library: Improving Model Validation, Transparency and Dissemination Through a Centralised Library of Prediction Models.",Open source development
37203671,2023,Data Quality Assessment for Observational Medical Outcomes Partnership Common Data Model of Multi-Center.,Open community data standards
37203683,2023,RD-MON - Building a Rare Disease Monitor to Enhance Awareness for Patients with Rare Diseases in Intensive Care.,Open source development
37208468,2023,Ontologizing health systems data at scale: making translational discovery a reality.,Open community data standards
37224727,2023,SEnDAE: A resource for expanding research into social and environmental determinants of health.,Open source development
37267810,2023,Assessing the FAIRness of databases on the EHDEN portal: A case study on two Dutch ICU databases.,Open community data standards
37305615,2023,Building the observational medical outcomes partnership's T-MSIS Analytic File common data model.,Open community data standards
37309694,2023,Real-World Treatment Intensity and Patterns in Patients With Myopic Choroidal Neovascularization: Common Data Model in Ophthalmology.,Clinical evidence generation
37318234,2022,ricu: R's interface to intensive care data.,Unknown
37321588,2023,Association between dyslipidemia and asthma in children: a systematic review and multicenter cohort study using a common data model.,Clinical evidence generation
37328600,2023,Serially Combining Epidemiological Designs Does Not Improve Overall Signal Detection in Vaccine Safety Surveillance.,Methodological research
37350911,2023,"Mild Cognitive Impairment: Data-Driven Prediction, Risk Factors, and Workup.",Methodological research
37361151,2023,Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model.,Open community data standards
37364547,2023,Efficacy of Co-Medications in Patients with Alcoholic Liver Disease.,Clinical evidence generation
37366649,2023,Investigation of hepatic adverse events due to quetiapine by using the common data model.,Clinical evidence generation
37387003,2023,Use of Real-World Data to Support Adverse Drug Reactions Prevention During ePrescription.,Clinical evidence generation
37387004,2023,Diabetes Prevalence and Duration Data Extracted from Outpatient Records Representative for the Bulgarian Population.,Clinical evidence generation
37387019,2023,Harmonisation of German Health Care Data Using the OMOP Common Data Model - A Practice Report.,Open community data standards
37409312,2023,Characteristics and treatment pathways in pediatric and adult hidradenitis suppurativa: An examination using real world data.,Clinical evidence generation
37414703,2024,Clinical Characterization of Patients Diagnosed with Prostate Cancer and Undergoing Conservative Management: A PIONEER Analysis Based on Big Data.,Clinical evidence generation
37418391,2023,Learning important common data elements from shared study data: The All of Us program analysis.,Open community data standards
37442314,2023,Eos and OMOCL: Towards a seamless integration of openEHR records into the OMOP Common Data Model.,Open community data standards
37447187,2023,"Association of Serum Vitamin D Level with Temporomandibular Disorder Incidence: A Retrospective, Multi-Center Cohort Study Using Six Hospital Databases.",Clinical evidence generation
37449050,2023,"Concept Coverage Analysis of Ophthalmic Infections and Trauma among the Standardized Medical Terminologies SNOMED-CT, ICD-10-CM, and ICD-11.",Open community data standards
37459703,2023,ReDWINE: A clinical datamart with text analytical capabilities to facilitate rehabilitation research.,Open community data standards
37507616,2023,Risk of Hyponatremia after Tramadol/Acetaminophen Single-Pill Combination Therapy: A Real-World Study Based on the OMOP-CDM Database.,Clinical evidence generation
37535410,2023,Methods Used in the Development of Common Data Models for Health Data: Scoping Review.,Open community data standards
37596918,2023,How do we build a comprehensive Vein-to-Vein (V2V) database for conduct of observational studies in transfusion medicine? Demonstrated with the Recipient Epidemiology and Donor Evaluation Study-IV-Pediatric V2V database protocol.,Open community data standards
37598737,2023,"Padé approximant meets federated learning: A nearly lossless, one-shot algorithm for evidence synthesis in distributed research networks with rare outcomes.",Methodological research
37603402,2023,Prescribing Patterns of Oral Antibiotics and Isotretinoin for Acne in a Colorado Hospital System: Retrospective Cohort Study.,Clinical evidence generation
37608699,2023,Impact of concomitant cardiovascular medications on overall survival in patients with liver cirrhosis.,Clinical evidence generation
37621207,2023,An Extract-Transform-Load Process Design for the Incremental Loading of German Real-World Data Based on FHIR and OMOP CDM: Algorithm Development and Validation.,Open community data standards
37627087,2023,Mapping the Oncological Basis Dataset to the Standardized Vocabularies of a Common Data Model: A Feasibility Study.,Open community data standards
37632892,2022,Phenotype Algorithms to Identify Hidradenitis Suppurativa Using Real-World Data: Development and Validation Study.,Methodological research
